transcription factors,cytokines and growth factors,cell differentiation markers,protein kinases,oncogenes,tumor suppresors
ZNF180,,,,,
ZNF182,,,,,
ZNF184,,,,,
ZNF185,,,,,
ZNF189,,,,,
ZNF19,,,,,
ZNF195,,,,,
ZNF197,,,,,
ZNF2,,,,,
ZNF20,,,,,
ZNF200,,,,,
ZNF202,,,,,
ZNF205,,,,,
ZNF207,,,,,
ZNF208,,,,,
ZNF211,,,,,
ZNF212,,,,,
ZNF213,,,,,
ZNF214,,,,,
ZNF215,,,,,
ZNF217,,,,,
ZNF219,,,,,
ZNF22,,,,,
ZNF221,,,,,
ZNF222,,,,,
ZNF223,,,,,
ZNF224,,,,,
ZNF225,,,,,
ZNF226,,,,,
ZNF229,,,,,
ZNF23,,,,,
ZNF230,,,,,
ZNF232,,,,,
ZNF234,,,,,
ZNF235,,,,,
ZNF236,,,,,
ZNF239,,,,,
ZNF24,,,,,
ZNF248,,,,,
ZNF25,,,,,
ZNF250,,,,,
ZNF251,,,,,
ZNF254,,,,,
ZNF256,,,,,
ZNF26,,,,,
ZNF263,,,,,
ZNF264,,,,,
ZNF266,,,,,
ZNF267,,,,,
ZNF268,,,,,
ZNF271P,,,,,
ZNF273,,,,,
ZNF274,,,,,
ZNF275,,,,,
ZNF277,,,,,
ZNF28,,,,,
ZNF281,,,,,
ZNF282,,,,,
ZNF286A,,,,,
ZNF287,,,,,
ZNF29P,,,,,
ZNF3,,,,,
ZNF30,,,,,
ZNF304,,,,,
ZNF318,,,,,
ZNF319,,,,,
ZNF32,,,,,
ZNF324,,,,,
ZNF331,,,,,
ZNF334,,,,,
ZNF337,,,,,
ZNF33A,,,,,
ZNF33B,,,,,
ZNF35,,,,,
ZNF354A,,,,,
ZNF358,,,,,
ZNF362,,,,,
ZNF37A,,,,,
ZNF395,,,,,
ZNF408,,,,,
ZNF41,,,,,
ZNF410,,,,,
ZNF414,,,,,
ZNF415,,,,,
ZNF416,,,,,
ZNF423,,,,,
ZNF43,,,,,
ZNF430,,,,,
ZNF432,,,,,
ZNF44,,,,,
ZNF443,,,,,
ZNF444,,,,,
ZNF45,,,,,
ZNF460,,,,,
ZNF461,,,,,
ZNF473,,,,,
ZNF483,,,,,
ZNF510,,,,,
ZNF516,,,,,
ZNF532,,,,,
ZNF544,,,,,
ZNF552,,,,,
ZNF559,,,,,
ZNF576,,,,,
ZNF581,,,,,
ZNF592,,,,,
ZNF593,,,,,
ZNF605,,,,,
ZNF613,,,,,
ZNF629,,,,,
ZNF630,,,,,
ZNF639,,,,,
ZNF646,,,,,
ZNF649,,,,,
ZNF668,,,,,
ZNF669,,,,,
ZNF672,,,,,
ZNF682,,,,,
ZNF691,,,,,
ZNF692,,,,,
ZNF696,,,,,
ZNF7,,,,,
ZNF701,,,,,
ZNF706,,,,,
ZNF708,,,,,
ZNF711,,,,,
ZNF73P,,,,,
ZNF74,,,,,
ZNF746,,,,,
ZNF75A,,,,,
ZNF76,,,,,
ZNF79,,,,,
ZNF8,,,,,
ZNF80,,,,,
ZNF81,,,,,
ZNF823,,,,,
ZNF83,,,,,
ZNF831,,,,,
ZNF84,,,,,
ZNF85,,,,,
ZNF875,,,,,
ZNF90,,,,,
ZNF91,,,,,
ZNF92,,,,,
ZNF93,,,,,
ZNHIT6,,,,,
ZPR1,,,,,
ZRANB2,,,,,
ZSCAN10,,,,,
ZSCAN12,,,,,
ZSCAN2,,,,,
ZSCAN20,,,,,
ZSCAN21,,,,,
ZSCAN22,,,,,
ZSCAN26,,,,,
ZSCAN9,,,,,
ZXDA,,,,,
ZXDB,,,,,
ZXDC,,,,,
